raceplace,var_name,group,beta,se,varName,model
5,2.htn3cat,Dementia,12.878123,2428.0525,htn3cat,ASE Adj Model
6,2.htn3cat,Dementia,-.40610814,.29899654,htn3cat,ASE Adj Model
1,3.dm3cat,Dementia,-.83090913,1.0217534,dm3cat,ASE Adj Model
2,3.dm3cat,Dementia,-.80717731,.73790908,dm3cat,ASE Adj Model
3,3.dm3cat,Dementia,.38041335,.39138511,dm3cat,ASE Adj Model
4,3.dm3cat,Dementia,.87924814,.59139186,dm3cat,ASE Adj Model
5,3.dm3cat,Dementia,-9.998765,6061.3945,dm3cat,ASE Adj Model
6,3.dm3cat,Dementia,.013320354,.55832803,dm3cat,ASE Adj Model
1,3.htn3cat,Dementia,.46294942,.44410783,htn3cat,ASE Adj Model
2,3.htn3cat,Dementia,-.25739503,.65153068,htn3cat,ASE Adj Model
3,3.htn3cat,Dementia,.54925072,.47351095,htn3cat,ASE Adj Model
4,3.htn3cat,Dementia,-.18386389,.80486655,htn3cat,ASE Adj Model
5,3.htn3cat,Dementia,15.47231,2428.0527,htn3cat,ASE Adj Model
6,3.htn3cat,Dementia,.33753341,.5072239,htn3cat,ASE Adj Model
1,age5,Dementia,.74179983,.10966829,age5,ASE Adj Model
2,age5,Dementia,.71135825,.12792873,age5,ASE Adj Model
3,age5,Dementia,.82677537,.10554254,age5,ASE Adj Model
4,age5,Dementia,1.0475062,.1677916,age5,ASE Adj Model
5,age5,Dementia,1.9635491,1.0186294,age5,ASE Adj Model
6,age5,Dementia,.77184647,.088377498,age5,ASE Adj Model
1,1.alcprob,MCI,.15727033,.74778777,alcprob,ASE Adj Model
2,1.alcprob,MCI,-.23374723,.20520611,alcprob,ASE Adj Model
3,1.alcprob,MCI,.30469251,.21948704,alcprob,ASE Adj Model
4,1.alcprob,MCI,.31406212,.17201233,alcprob,ASE Adj Model
5,1.alcprob,MCI,-1.208725,1.1023556,alcprob,ASE Adj Model
6,1.alcprob,MCI,-1.0905733,.74731183,alcprob,ASE Adj Model
1,1.bmigte30,MCI,-.076481722,.10877646,bmigte30,ASE Adj Model
2,1.bmigte30,MCI,.066900432,.13034463,bmigte30,ASE Adj Model
3,1.bmigte30,MCI,.15016434,.12617505,bmigte30,ASE Adj Model
4,1.bmigte30,MCI,.24602485,.15380849,bmigte30,ASE Adj Model
5,1.bmigte30,MCI,.32155696,.64378291,bmigte30,ASE Adj Model
6,1.bmigte30,MCI,-.1575169,.14232889,bmigte30,ASE Adj Model
1,1.cvdhx,MCI,.19045103,.10512072,cvdhx,ASE Adj Model
2,1.cvdhx,MCI,-.066965319,.16552208,cvdhx,ASE Adj Model
3,1.cvdhx,MCI,.073243402,.1547267,cvdhx,ASE Adj Model
4,1.cvdhx,MCI,-.067835294,.18980534,cvdhx,ASE Adj Model
5,1.cvdhx,MCI,.9535138,.76736796,cvdhx,ASE Adj Model
6,1.cvdhx,MCI,.396772,.21270546,cvdhx,ASE Adj Model
1,1.educ_lths,MCI,.73671073,.14588104,educ_lths,ASE Adj Model
2,1.educ_lths,MCI,-.4574351,.35971469,educ_lths,ASE Adj Model
3,1.educ_lths,MCI,.041106023,.14640348,educ_lths,ASE Adj Model
4,1.educ_lths,MCI,-.047502402,.28922397,educ_lths,ASE Adj Model
5,1.educ_lths,MCI,.39398301,.73327953,educ_lths,ASE Adj Model
6,1.educ_lths,MCI,-.20807666,.1549671,educ_lths,ASE Adj Model
1,1.eversmoked,MCI,-.016418902,.098628573,eversmoked,ASE Adj Model
